---,tag,category,meshes,uniformScaleMin,uniformScaleMax,bRandomizeYaw
Shrub,Shrub,Plants,"(/Game/OWD_Plants_Pack/Plants/Meshes/SM_Plant_06_1_G.SM_Plant_06_1_G,/Game/OWD_Plants_Pack/Plants/Meshes/SM_Plant_07_1_G.SM_Plant_07_1_G,/Game/OWD_Plants_Pack/Plants/Meshes/SM_Plant_07_4_G.SM_Plant_07_4_G,/Game/OWD_Plants_Pack/Plants/Meshes/SM_Plant_08_1_G.SM_Plant_08_1_G,/Game/OWD_Plants_Pack/Plants/Meshes/SM_Plant_09_1_G.SM_Plant_09_1_G)",0.8,1.3,True
BerryBush,BerryBush,Plants,"(/Game/OWD_Plants_Pack/Plants/Meshes/SM_Plant_06_1_G.SM_Plant_06_1_G,/Game/OWD_Plants_Pack/Plants/Meshes/SM_Plant_07_1_G.SM_Plant_07_1_G,/Game/OWD_Plants_Pack/Plants/Meshes/SM_Plant_07_4_G.SM_Plant_07_4_G,/Game/OWD_Plants_Pack/Plants/Meshes/SM_Plant_08_1_G.SM_Plant_08_1_G,/Game/OWD_Plants_Pack/Plants/Meshes/SM_Plant_09_1_G.SM_Plant_09_1_G)",0.8,1.3,True
Lichen,Lichen,Plants,(),0.85,1.15,True
Driftwood,Driftwood,Props,(),0.85,1.15,True
FishingNet,FishingNet,Props,(),0.85,1.15,True
TidePoolDebris,TidePoolDebris,Props,(),0.85,1.15,True
StoneWall,StoneWall,Props,(),0.85,1.15,True
Hayrick,Hayrick,Props,(),0.85,1.15,True
FencePost,FencePost,Props,(),0.85,1.15,True
LogPile,LogPile,Props,(),0.85,1.15,True
Woodpile,Woodpile,Props,(),0.85,1.15,True
Cairn,Cairn,Props,"(/Game/Rock_Collection_04/Meshes/Rock_01/StaticMeshes/SM_Rock_01.SM_Rock_01,/Game/Rock_Collection_04/Meshes/Rock_02/StaticMeshes/SM_Rock_02.SM_Rock_02,/Game/Rock_Collection_04/Meshes/Rock_03/StaticMeshes/SM_Rock_03.SM_Rock_03)",0.7,1.1,True
RockPile,RockPile,Props,"(/Game/Rock_Collection_04/Meshes/Rock_02/StaticMeshes/SM_Rock_02.SM_Rock_02,/Game/Rock_Collection_04/Meshes/Rock_03/StaticMeshes/SM_Rock_03.SM_Rock_03,/Game/Rock_Collection_04/Meshes/Rock_04/StaticMeshes/SM_Rock_04.SM_Rock_04)",0.7,1.1,True
SummitCairn,SummitCairn,Props,"(/Game/Rock_Collection_04/Meshes/Rock_01/StaticMeshes/SM_Rock_01.SM_Rock_01,/Game/Rock_Collection_04/Meshes/Rock_05/StaticMeshes/SM_Rock_05.SM_Rock_05)",0.7,1.1,True
